"etnia","partidos","idade_recod","escolaridade","renda","temp_fil","horas","inf_part","inf_pais","inf_voto","mot_cand","mot_asso","mot_amiz","mot_carg","mot_cesp","mot_convic","mot_conviv","mot_emp","mot_opos","mot_reli","mot_trad","pos_ideol","pos_ideol_part","Part_rej","Part_tol","atvc_reuniao","atvc_comicio","atvc_convencao","atvc_eldir","atvc_panfl","atvc_adm","atvc_recrt","atvc_del","atvc_cand","atvc_internet","atvc_rua","estado"
"1",0,"Response",NA,NA,3,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,"Response","PT","Response","Reunião no diretório municipal","Comício eleitoral organizado","Participação na convenção partidária","Participação na eleição do diretório","Distribuição de panfletos ou outro material do partido","Participação em atividades administrativas no partido (jornal, revista, website)","Recrutamento de outros filiados para o partido","Delegado em convenção","Candidato em eleições","Ativismo em redes sociais e internet","Participação em mobilizações e atos nas ruas",NA
"2",1,"PSDB",36,1,1,11,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,6,"6","PT","1","1","1","1","1","1","1","1","1","1","1","1",21
"3",1,NA,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0,"PSD",48,0,NA,12,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"5",1,"PSB",59,1,3,5,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,4,"4","PT","1","1","1","1",NA,NA,NA,NA,"1","1","1",NA,24
"6",1,"PDT",64,1,NA,38,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,NA,NA,NA,NA,"1","1","1","1",NA,"1","1","1","1",NA,NA,13
"7",1,"MDB",37,1,3,13,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,5,"7","PT","1","1","1","1","1","1",NA,"1",NA,NA,"1",NA,13
"8",0,"REPUBLICANOS",29,1,NA,5,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"9",0,"MDB",30,1,2,NA,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,6,"10","PT","1","1","1","1",NA,NA,NA,"1",NA,NA,NA,NA,25
"10",0,"PSD",41,0,1,14,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,4,"5",NA,"3","1","1",NA,NA,NA,NA,NA,NA,"1",NA,NA,9
"11",NA,"PRTB",NA,0,NA,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"12",0,"PCdoB",58,1,1,42,0,0,1,1,0,1,0,0,NA,1,0,0,0,NA,0,1,"1","PT","1","1","1","1","1","1","1","1","1","1","1","1",20
"13",0,"PSD",57,0,1,8,0,1,0,1,1,1,NA,1,1,0,1,0,0,0,0,1,"1",NA,"1","1","1","1","1",NA,NA,"1","1","1",NA,"1",26
